
*************************************************************
                       POINT NUMBER = 1
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5690     0.5717  7.4256e-06    0.48
cell(6_x)              0.2190     0.2117  5.2780e-05    3.32
cell(6_y)              0.0390     0.0376  1.9155e-06    3.55
cell(6_z)              0.2800     0.2893  8.6676e-05    3.32
cell(Volume)         242.8598   244.4012  2.3758e+00    0.63
cell(a)                5.5647     5.5991  1.1821e-03    0.62
cell(b)                7.8551     7.8636  7.1538e-05    0.11
cell(c)                5.5560     5.5510  2.5482e-05    0.09
-------------------------------------------------------------
La2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.3333     0.3333  0.0000e+00    0.00
cell(1_y)              0.6667     0.6667  0.0000e+00    0.00
cell(1_z)              0.2469     0.2493  5.6692e-06    0.96
cell(2_x)              0.3333     0.3333  0.0000e+00    0.00
cell(2_y)              0.6667     0.6667  0.0000e+00    0.00
cell(2_z)              0.6454     0.6615  2.6011e-04    2.50
cell(3_x)              0.0000     0.0000  0.0000e+00    0.00
cell(3_y)              0.0000     0.0000  0.0000e+00    0.00
cell(3_z)              0.0000     0.0000  0.0000e+00    0.00
cell(4_x)              0.3333     0.3333  0.0000e+00    0.00
cell(4_y)              0.6667     0.6667  0.0000e+00    0.00
cell(4_z)              0.6454     0.6622  2.8143e-04    2.60
cell(5_x)              0.0000     0.0000  0.0000e+00    0.00
cell(5_y)              0.0000     0.0000  0.0000e+00    0.00
cell(5_z)              0.0000     0.0000  0.0000e+00    0.00
cell(Volume)          82.7264    80.8632  3.4716e+00    2.25
cell(a)                3.9360     3.8550  6.5563e-03    2.06
cell(b)                3.9360     3.8550  6.5563e-03    2.06
cell(c)                6.1660     6.2830  1.3682e-02    1.90
-------------------------------------------------------------
LuFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0715     0.0421  8.6418e-04   41.11
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4800     0.4901  1.0181e-04    2.10
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4539     0.4417  1.4833e-04    2.68
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6199     0.6106  8.6806e-05    1.50
cell(4_x)              0.3071     0.2995  5.8064e-05    2.48
cell(4_y)              0.0621     0.0593  7.5900e-06    4.44
cell(4_z)              0.1893     0.1981  7.7669e-05    4.66
cell(5_x)              0.4539     0.4414  1.5668e-04    2.76
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6199     0.6108  8.2337e-05    1.46
cell(6_x)              0.3071     0.2997  5.4037e-05    2.39
cell(6_y)              0.0621     0.0595  6.5638e-06    4.13
cell(6_z)              0.1893     0.1982  7.9157e-05    4.70
cell(Volume)         218.7534   220.6342  3.5373e+00    0.86
cell(a)                5.5470     5.4368  1.2151e-02    1.99
cell(b)                7.5650     7.6487  7.0035e-03    1.11
cell(c)                5.2130     5.3057  8.5985e-03    1.78
-------------------------------------------------------------
Lu2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9670     0.9714  1.9211e-05    0.45
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3912     0.3901  1.2321e-06    0.28
cell(3_y)              0.1521     0.1510  1.1385e-06    0.70
cell(3_z)              0.3800     0.3809  8.7984e-07    0.25
cell(4_x)              0.3912     0.3899  1.6282e-06    0.33
cell(4_y)              0.1521     0.1509  1.4256e-06    0.79
cell(4_z)              0.3800     0.3811  1.1300e-06    0.28
cell(Volume)        1110.3255  1110.1755  2.2487e-02    0.01
cell(a)               10.3550    10.3545  2.1716e-07    0.00
cell(b)               10.3550    10.3545  2.1716e-07    0.00
cell(c)               10.3550    10.3545  2.1716e-07    0.00
-------------------------------------------------------------
PrFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4563     0.4789  5.1189e-04    4.96
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0090     0.0026  4.1474e-05   71.56
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5212     0.5170  1.7422e-05    0.80
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5817     0.5591  5.1185e-04    3.89
cell(4_x)              0.2081     0.2166  7.1639e-05    4.07
cell(4_y)              0.0437     0.0308  1.6528e-04   29.42
cell(4_z)              0.2925     0.2840  7.1453e-05    2.89
cell(5_x)              0.5212     0.5174  1.4776e-05    0.74
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5817     0.5593  5.0167e-04    3.85
cell(6_x)              0.2081     0.2164  6.9539e-05    4.01
cell(6_y)              0.0437     0.0310  1.6208e-04   29.13
cell(6_z)              0.2925     0.2841  7.0007e-05    2.86
cell(Volume)         238.0849   243.6240  3.0681e+01    2.33
cell(a)                5.5780     5.5787  4.4356e-07    0.01
cell(b)                7.7860     7.8559  4.8881e-03    0.90
cell(c)                5.4820     5.5590  5.9215e-03    1.40
-------------------------------------------------------------
Pr2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9695     0.9702  4.5698e-07    0.07
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3905     0.3895  9.4284e-07    0.25
cell(3_y)              0.1494     0.1510  2.4305e-06    1.04
cell(3_z)              0.3786     0.3811  6.4719e-06    0.67
cell(4_x)              0.3905     0.3894  1.2679e-06    0.29
cell(4_y)              0.1494     0.1508  2.0678e-06    0.96
cell(4_z)              0.3786     0.3812  6.9274e-06    0.70
cell(Volume)        1438.3050  1438.1739  1.7207e-02    0.01
cell(a)               11.2880    11.2877  1.1765e-07    0.00
cell(b)               11.2880    11.2877  1.1765e-07    0.00
cell(c)               11.2880    11.2877  1.1765e-07    0.00
-------------------------------------------------------------
SmFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4433     0.4677  5.9619e-04    5.51
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0131     0.0050  6.5157e-05   61.62
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5290     0.5310  3.9681e-06    0.38
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5947     0.5782  2.7212e-04    2.77
cell(4_x)              0.2008     0.2089  6.5934e-05    4.04
cell(4_y)              0.0497     0.0414  6.8774e-05   16.69
cell(4_z)              0.2996     0.2925  5.0126e-05    2.36
cell(5_x)              0.5290     0.5314  5.6882e-06    0.45
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5947     0.5784  2.6471e-04    2.74
