
*************************************************************
                       POINT NUMBER = 0
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5690     0.5700  9.3509e-07    0.17
cell(6_x)              0.2190     0.2124  4.3349e-05    3.01
cell(6_y)              0.0390     0.0367  5.4709e-06    6.00
cell(6_z)              0.2800     0.2886  7.3274e-05    3.06
cell(Volume)         242.8598   242.2807  3.3539e-01    0.24
cell(a)                5.5647     5.5808  2.5892e-04    0.29
cell(b)                7.8551     7.8406  2.1042e-04    0.18
cell(c)                5.5560     5.5370  3.6119e-04    0.34
-------------------------------------------------------------
La2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.3333     0.3333  0.0000e+00    0.00
cell(1_y)              0.6667     0.6667  0.0000e+00    0.00
cell(1_z)              0.2469     0.2492  5.2624e-06    0.93
cell(2_x)              0.3333     0.3333  0.0000e+00    0.00
cell(2_y)              0.6667     0.6667  0.0000e+00    0.00
cell(2_z)              0.6454     0.6615  2.5860e-04    2.49
cell(3_x)              0.0000     0.0000  0.0000e+00    0.00
cell(3_y)              0.0000     0.0000  0.0000e+00    0.00
cell(3_z)              0.0000     0.0000  0.0000e+00    0.00
cell(4_x)              0.3333     0.3333  0.0000e+00    0.00
cell(4_y)              0.6667     0.6667  0.0000e+00    0.00
cell(4_z)              0.6454     0.6621  2.7956e-04    2.59
cell(5_x)              0.0000     0.0000  0.0000e+00    0.00
cell(5_y)              0.0000     0.0000  0.0000e+00    0.00
cell(5_z)              0.0000     0.0000  0.0000e+00    0.00
cell(Volume)          82.7264    80.4434  5.2121e+00    2.76
cell(a)                3.9360     3.8516  7.1158e-03    2.14
cell(b)                3.9360     3.8516  7.1158e-03    2.14
cell(c)                6.1660     6.2613  9.0903e-03    1.55
-------------------------------------------------------------
LuFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0715     0.0418  8.8156e-04   41.53
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4800     0.4904  1.0870e-04    2.17
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4539     0.4435  1.0910e-04    2.30
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6199     0.6087  1.2501e-04    1.80
cell(4_x)              0.3071     0.2991  6.3633e-05    2.60
cell(4_y)              0.0621     0.0583  1.4493e-05    6.13
cell(4_z)              0.1893     0.1985  8.4714e-05    4.86
cell(5_x)              0.4539     0.4431  1.1640e-04    2.38
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.6199     0.6090  1.1962e-04    1.76
cell(6_x)              0.3071     0.2994  5.9490e-05    2.51
cell(6_y)              0.0621     0.0585  1.3054e-05    5.82
cell(6_z)              0.1893     0.1986  8.6174e-05    4.90
cell(Volume)         218.7534   219.4702  5.1382e-01    0.33
cell(a)                5.5470     5.4287  1.3994e-02    2.13
cell(b)                7.5650     7.6280  3.9728e-03    0.83
cell(c)                5.2130     5.2999  7.5502e-03    1.67
-------------------------------------------------------------
Lu2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.2500     0.2500  0.0000e+00    0.00
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.2500     0.2500  0.0000e+00    0.00
cell(2_x)              0.9670     0.9714  1.8957e-05    0.45
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.2500     0.2500  0.0000e+00    0.00
cell(3_x)              0.3912     0.3901  1.2634e-06    0.29
cell(3_y)              0.1521     0.1510  1.1449e-06    0.70
cell(3_z)              0.3800     0.3809  8.8736e-07    0.25
cell(4_x)              0.3912     0.3899  1.6641e-06    0.33
cell(4_y)              0.1521     0.1509  1.4328e-06    0.79
cell(4_z)              0.3800     0.3811  1.1385e-06    0.28
cell(Volume)        1110.3255  1111.9039  2.4913e+00    0.14
cell(a)               10.3550    10.3599  2.4049e-05    0.05
cell(b)               10.3550    10.3599  2.4049e-05    0.05
cell(c)               10.3550    10.3599  2.4049e-05    0.05
-------------------------------------------------------------
PrFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.4563     0.4779  4.6514e-04    4.73
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.0090     0.0028  3.8950e-05   69.34
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.5212     0.5183  8.3463e-06    0.55
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.5817     0.5610  4.2746e-04    3.55
cell(4_x)              0.2081     0.2157  5.8034e-05    3.66
cell(4_y)              0.0437     0.0319  1.3905e-04   26.98
cell(4_z)              0.2925     0.2850  5.6686e-05    2.57
cell(5_x)              0.5212     0.5187  6.4923e-06    0.49
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5817     0.5613  4.1792e-04    3.51
cell(6_x)              0.2081     0.2156  5.6055e-05    3.60
cell(6_y)              0.0437     0.0320  1.3600e-04   26.69
cell(6_z)              0.2925     0.2851  5.5413e-05    2.54
cell(Volume)         238.0849   240.8906  7.8714e+00    1.18
cell(a)                5.5780     5.5605  3.0506e-04    0.31
cell(b)                7.7860     7.8250  1.5195e-03    0.50
cell(c)                5.4820     5.5363  2.9490e-03    0.99
-------------------------------------------------------------
