
*************************************************************
                       POINT NUMBER = 0
*************************************************************
DyFeO3                  ref        calc    error^2    %P.R.E.
cell(5_y)              0.2500     0.2500  0.0000e+00    0.00
cell(5_z)              0.5690     0.5652  1.4205e-05    0.66
cell(6_x)              0.2190     0.2145  2.0061e-05    2.05
cell(6_y)              0.0390     0.0340  2.4651e-05   12.73
cell(6_z)              0.2800     0.2863  3.9376e-05    2.24
cell(Volume)         242.8598   246.7375  1.5036e+01    1.60
cell(a)                5.5647     5.6082  1.8963e-03    0.78
cell(b)                7.8551     7.8907  1.2671e-03    0.45
cell(c)                5.5560     5.5756  3.8475e-04    0.35
-------------------------------------------------------------
La2O3                   ref        calc    error^2    %P.R.E.
cell(1_x)              0.3333     0.3333  0.0000e+00    0.00
cell(1_y)              0.6667     0.6667  0.0000e+00    0.00
cell(1_z)              0.2469     0.2492  5.1484e-06    0.92
cell(2_x)              0.3333     0.3333  0.0000e+00    0.00
cell(2_y)              0.6667     0.6667  0.0000e+00    0.00
cell(2_z)              0.6454     0.6615  2.5873e-04    2.49
cell(3_x)              0.0000     0.0000  0.0000e+00    0.00
cell(3_y)              0.0000     0.0000  0.0000e+00    0.00
cell(3_z)              0.0000     0.0000  0.0000e+00    0.00
cell(4_x)              0.3333     0.3333  0.0000e+00    0.00
cell(4_y)              0.6667     0.6667  0.0000e+00    0.00
cell(4_z)              0.6454     0.6621  2.7896e-04    2.59
cell(5_x)              0.0000     0.0000  0.0000e+00    0.00
cell(5_y)              0.0000     0.0000  0.0000e+00    0.00
cell(5_z)              0.0000     0.0000  0.0000e+00    0.00
cell(Volume)          82.7264    82.9345  4.3300e-02    0.25
cell(a)                3.9360     3.8919  1.9417e-03    1.12
cell(b)                3.9360     3.8919  1.9417e-03    1.12
cell(c)                6.1660     6.3223  2.4423e-02    2.53
-------------------------------------------------------------
LuFeO3                  ref        calc    error^2    %P.R.E.
cell(1_x)              0.0715     0.0408  9.4470e-04   42.99
cell(1_y)              0.2500     0.2500  0.0000e+00    0.00
cell(1_z)              0.4800     0.4916  1.3386e-04    2.41
cell(2_x)              0.0000     0.0000  0.0000e+00    0.00
cell(2_y)              0.0000     0.0000  0.0000e+00    0.00
cell(2_z)              0.0000     0.0000  0.0000e+00    0.00
cell(3_x)              0.4539     0.4504  1.2376e-05    0.78
cell(3_y)              0.2500     0.2500  0.0000e+00    0.00
cell(3_z)              0.6199     0.6011  3.5517e-04    3.04
